GRD -Código,GRD -Descripción
164101,MH AGRANULOCITOSIS
81301,PH PROCEDIMIENTOS EN EL PIE
34101,"PH MALIGNIDAD DE OÍDOS, NARIZ, BOCA Y GARGANTA"
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
111401,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES
51151,PH CATETERISMO CARDÍACO
54202,MH ANGINA DE PECHO Y DOLOR TORÁCICO w/CC
14221,MH CONVULSIONES
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
14133,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/MCC
44201,MH NEUMOTÓRAX Y DERRAME PLEURAL
61401,PH OTROS PROCEDIMIENTOS DIGESTIVOS
64153,MH OBSTRUCCIÓN GASTROINTESTINAL w/MCC
34151,"PH OTROS DIAGNÓSTICOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
14222,MH CONVULSIONES w/CC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
81802,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES w/CC
44202,MH NEUMOTÓRAX Y DERRAME PLEURAL w/CC
114132,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/CC
81703,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE w/MCC
81073,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA w/MCC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
51152,PH CATETERISMO CARDÍACO w/CC
64181,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO
64172,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/CC
164111,MH TRASTORNOS DE LA COAGULACIÓN
184113,MH INFECCIONES POST OPERATORIAS Y POSTRAUMÁTICAS w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
91303,PH INJERTO DE PIEL SIN QUEMADURAS w/MCC
184143,MH OTRAS ENFERMEDADES BACTERIANAS Y PARASITARIAS w/MCC
121141,PH PROSTATECTOMÍA TRANSURETRAL
81603,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO w/MCC
61132,PH PROCEDIMIENTOS DEL APÉNDICE w/CC
184113,MH INFECCIONES POST OPERATORIAS Y POSTRAUMÁTICAS w/MCC
101202,"PH PROCEDIMIENTOS EN GLÁNDULAS TIROIDES, PARATIROIDES Y CONDUCTO TIROGLOSO w/CC"
14171,MH TRASTORNOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
81702,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE w/CC
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
104101,MH DIABETES Y TRASTORNOS METABÓLICOS Y NUTRICIONALES MISCELÁNEOS
54201,MH ANGINA DE PECHO Y DOLOR TORÁCICO
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
91501,PH PROCEDIMIENTOS EN MAMAS
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
71142,PH COLECISTECTOMÍA LAPAROSCÓPICA w/CC
54123,MH INSUFICIENCIA CARDÍACA w/MCC
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
14221,MH CONVULSIONES
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
14231,MH MIGRAÑA Y OTRAS CEFALEAS
81602,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO w/CC
81402,PH EXCISIÓN LOCAL Y REMOCIÓN DE DISPOSITIVO DE FIJACIÓN INTERNO w/CC
54163,MH ARTERIOESCLEROSIS w/MCC
24112,MH TRASTORNOS NEUROLÓGICOS DE LOS OJOS w/CC
81302,PH PROCEDIMIENTOS EN EL PIE w/CC
114132,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/CC
54172,MH HIPERTENSIÓN w/CC
44181,MH ASMA Y BRONQUITIS
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
74111,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS
61131,PH PROCEDIMIENTOS DEL APÉNDICE
61131,PH PROCEDIMIENTOS DEL APÉNDICE
14221,MH CONVULSIONES
84171,MH PROBLEMAS MÉDICOS DE LA ESPALDA
71143,PH COLECISTECTOMÍA LAPAROSCÓPICA w/MCC
14222,MH CONVULSIONES w/CC
64183,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/MCC
44183,MH ASMA Y BRONQUITIS w/MCC
111402,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES w/CC
121102,PH PROSTATECTOMÍA COMPLEJA w/CC
161201,PH OTROS PROCEDIMIENTOS DE LA SANGRE Y ÓRGANOS FORMADORES DE SANGRE
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
14212,MH ESTUPOR Y COMA NO TRAUMÁTICOS w/CC
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
61121,PH PROCEDIMIENTOS DE HERNIA EXCLUYENDO HERNIA INGUINAL Y FEMORAL
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
81501,PH PROCEDIMIENTOS EN TEJIDOS BLANDOS
34113,MH PÉRDIDA DEL EQUILIBRIO w/MCC
111401,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES
11202,PH PROCEDIMIENTOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO w/CC
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
21202,PH PROCEDIMIENTOS EXTRAOCULARES Y ORBITALES w/CC
14232,MH MIGRAÑA Y OTRAS CEFALEAS w/CC
54131,MH TROMBOFLEBITIS VENOSA PROFUNDA
54232,"HM FALLAS, REACCIONES Y COMPLICACIONES DE DISPOSITIVOS O DE PROCEDIMIENTOS CARDIOVASCULARES w/CC"
81603,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO w/MCC
61131,PH PROCEDIMIENTOS DEL APÉNDICE
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
51203,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO w/MCC
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
54171,MH HIPERTENSIÓN
134112,MH INFECCIONES DEL APARATO REPRODUCTOR FEMENINO w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
114143,"MH FALLA, REACCIÓN O COMPLICACIÓN DE DISPOSITIVO EN EL TRACTO URINARIO, INJERTO O TRASPLANTE w/MCC"
84172,MH PROBLEMAS MÉDICOS DE LA ESPALDA w/CC
184132,MH INFECCIÓN NO BACTERIANAS w/CC
84161,MH TRASTORNOS EN EL TEJIDO CONJUNTIVO
111012,PH TRASPLANTE DE RIÑÓN w/CC
111012,PH TRASPLANTE DE RIÑÓN w/CC
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
44181,MH ASMA Y BRONQUITIS
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
61131,PH PROCEDIMIENTOS DEL APÉNDICE
61131,PH PROCEDIMIENTOS DEL APÉNDICE
61131,PH PROCEDIMIENTOS DEL APÉNDICE
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
184133,MH INFECCIÓN NO BACTERIANAS w/MCC
14221,MH CONVULSIONES
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
61131,PH PROCEDIMIENTOS DEL APÉNDICE
34111,MH PÉRDIDA DEL EQUILIBRIO
114162,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
61133,PH PROCEDIMIENTOS DEL APÉNDICE w/MCC
74112,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/CC
31201,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
84211,MH OTROS DIAGNÓSTICOS DEL APARATO MÚSCULOESQUELÉTICO Y TEJIDO CONJUNTIVO
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
114101,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL
11101,PH CRANEOTOMÍA
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
31302,PH PROCEDIMIENTOS DE LA BOCA w/CC
91401,"PH OTROS PROCEDIMIENTOS DE PIEL, TEJIDO SUBCUTÁNEO Y MAMAS"
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
114101,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL
31201,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA"
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
14261,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
14262,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/CC
14231,MH MIGRAÑA Y OTRAS CEFALEAS
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
14222,MH CONVULSIONES w/CC
11102,PH CRANEOTOMÍA w/CC
44163,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/MCC
11102,PH CRANEOTOMÍA w/CC
11103,PH CRANEOTOMÍA w/MCC
14241,MH TRAUMA CRANEAL
71142,PH COLECISTECTOMÍA LAPAROSCÓPICA w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
64131,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON"
44182,MH ASMA Y BRONQUITIS w/CC
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
64102,MH MALIGNIDAD EN EL TRACTO DIGESTIVO w/CC
61131,PH PROCEDIMIENTOS DEL APÉNDICE
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
91402,"PH OTROS PROCEDIMIENTOS DE PIEL, TEJIDO SUBCUTÁNEO Y MAMAS w/CC"
184112,MH INFECCIONES POST OPERATORIAS Y POSTRAUMÁTICAS w/CC
81701,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE
64112,MH GASTRITIS Y ÚLCERA PÉPTICA w/CC
184151,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA
81601,PH OTROS PROCEDIMIENTOS EN EL APARATO MUSCULO-ESQUELÉTICO Y DE TEJIDO CONJUNTIVO
71102,PH PROCEDIMIENTOS DEL PÁNCREAS E HÍGADO w/CC
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
54133,MH TROMBOFLEBITIS VENOSA PROFUNDA w/MCC
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
61203,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/MCC
84161,MH TRASTORNOS EN EL TEJIDO CONJUNTIVO
14132,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/CC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
44162,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS) w/CC
121143,PH PROSTATECTOMÍA TRANSURETRAL w/MCC
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
64171,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL
64112,MH GASTRITIS Y ÚLCERA PÉPTICA w/CC
44181,MH ASMA Y BRONQUITIS
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
11103,PH CRANEOTOMÍA w/MCC
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
114103,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/MCC
54201,MH ANGINA DE PECHO Y DOLOR TORÁCICO
74132,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA w/CC"
104131,MH OTROS TRASTORNOS ENDÓCRINOS
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
11102,PH CRANEOTOMÍA w/CC
14232,MH MIGRAÑA Y OTRAS CEFALEAS w/CC
74122,MH TRASTORNOS DEL PÁNCREAS EXCLUYENDO MALIGNIDAD w/CC
44142,MH MALIGNIDIAD RESPIRATORIA w/CC
14221,MH CONVULSIONES
61131,PH PROCEDIMIENTOS DEL APÉNDICE
54193,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA w/MCC
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
44142,MH MALIGNIDIAD RESPIRATORIA w/CC
121111,PH PROCEDIMIENTOS DEL PENE
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
64111,MH GASTRITIS Y ÚLCERA PÉPTICA
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
84183,PA OTRAS ENFERMEDADES DE LOS HUESOS Y ARTICULACIONES w/MCC
61131,PH PROCEDIMIENTOS DEL APÉNDICE
64182,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/CC
114142,"MH FALLA, REACCIÓN O COMPLICACIÓN DE DISPOSITIVO EN EL TRACTO URINARIO, INJERTO O TRASPLANTE w/CC"
14221,MH CONVULSIONES
94121,MH CELULITIS
44203,MH NEUMOTÓRAX Y DERRAME PLEURAL w/MCC
214121,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS
14161,MH ISQUEMIA TRANSITORIA
54132,MH TROMBOFLEBITIS VENOSA PROFUNDA w/CC
204112,"MH ABUSO Y DEPENDENCIA DEL ALCOHOL, OPIÁCEOS Y COCAÍNA w/CC"
14132,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
51402,PH PROCEDIMIENTOS CARDIOVASCULARES PERCUTÁNEOS w/CC
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
81073,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA w/MCC
104131,MH OTROS TRASTORNOS ENDÓCRINOS
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
51151,PH CATETERISMO CARDÍACO
81071,PH PROCEDIMIENTOS DE FUSIÓN ESPINAL EXCLUYENDO LOS DE CORRECCIÓN DE CURVATURA DE LA ESPALDA
121112,PH PROCEDIMIENTOS DEL PENE w/CC
54222,HM CARDIOMIOPATÍA w/CC
14223,MH CONVULSIONES w/MCC
14132,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
174132,MH QUIMIOTERAPIA w/CC
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
44141,MH MALIGNIDIAD RESPIRATORIA
14223,MH CONVULSIONES w/MCC
44201,MH NEUMOTÓRAX Y DERRAME PLEURAL
64121,MH ENFERMEDADES ESOFÁGICAS
54133,MH TROMBOFLEBITIS VENOSA PROFUNDA w/MCC
41303,PH PROCEDIMIENTOS MODERADAMENTECOMPLEJOS DEL APARATO RESPIRATORIO w/MCC
54232,"HM FALLAS, REACCIONES Y COMPLICACIONES DE DISPOSITIVOS O DE PROCEDIMIENTOS CARDIOVASCULARES w/CC"
44143,MH MALIGNIDIAD RESPIRATORIA w/MCC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
34102,"PH MALIGNIDAD DE OÍDOS, NARIZ, BOCA Y GARGANTA w/CC"
81702,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE w/CC
31203,"PH OTROS PROCEDIMIENTOS DE OÍDOS, NARIZ, BOCA Y GARGANTA w/MCC"
91301,PH INJERTO DE PIEL SIN QUEMADURAS
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
81701,PH PROCEDIMIENTOS EN LA RODILLA Y PIERNA INFERIOR EXCLUYENDO EL PIE
81201,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
214121,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
114113,MH NEFRITIS w/MCC
111112,PH PROCEDIMIENTOS COMPLEJOS DE VEJIGA w/CC
131301,"PH PROCEDIMIENTOS EN LA VAGINA, CUELLO DEL ÚTERO Y LA VULVA"
114132,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO w/CC
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
34142,MH ENFERMEDADES ORALES Y DENTALES w/CC
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
194121,MH TRASTORNOS DE PERSONALIDAD Y COMPORTAMIENTO COMPULSIVO
64123,MH ENFERMEDADES ESOFÁGICAS w/MCC
81201,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES
114162,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
51201,PH OTROS PROCEDIMIENTOS DEL APARATO CIRCULATORIO
44181,MH ASMA Y BRONQUITIS
214101,MH LESIONES EN SITIOS MULTIPLES O NO ESPECIFICADOS
121102,PH PROSTATECTOMÍA COMPLEJA w/CC
54243,PH OTROS DIAGNÓSTICOS DEL APARATO CIRCULATORIO w/MCC
184131,MH INFECCIÓN NO BACTERIANAS
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
94141,MH OTROS TRASTORNOS DE LA PIEL Y DE MAMAS
64131,"MH DIVERTICULITIS, DIVERTICULOSIS Y ENFERMEDAD INFLAMATORIA DEL COLON"
184141,MH OTRAS ENFERMEDADES BACTERIANAS Y PARASITARIAS
114121,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO
51153,PH CATETERISMO CARDÍACO w/MCC
44212,"MH SÍNTOMAS, SIGNOS Y OTROS DIAGNÓSTICOS DEL APARATO RESPIRATORIO w/CC"
54131,MH TROMBOFLEBITIS VENOSA PROFUNDA
54122,MH INSUFICIENCIA CARDÍACA w/CC
44171,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA
44181,MH ASMA Y BRONQUITIS
21201,PH PROCEDIMIENTOS EXTRAOCULARES Y ORBITALES
81202,PH PROCEDIMIENTOS EN EL FÉMUR Y CADERAS EXCLUYENDO ARTICULACIONES MAYORES w/CC
11103,PH CRANEOTOMÍA w/MCC
14241,MH TRAUMA CRANEAL
14173,MH TRASTORNOS CRANEALES Y DEL SISTEMA NERVIOSO PERIFÉRICO w/MCC
174113,MH LINFOMA O LEUCEMIA NO AGUDA w/MCC
94113,MH TRASTORNOS MALIGNOS DE LAS MAMAS w/MCC
81502,PH PROCEDIMIENTOS EN TEJIDOS BLANDOS w/CC
44143,MH MALIGNIDIAD RESPIRATORIA w/MCC
14133,MH HEMORRAGIA INTRACRANEAL NO TRAUMÁTICA w/MCC
111401,PH PROCEDIMIENTOS URETRALES Y TRANSURETRALES
54152,MH TRASTORNOS PERÍFERICOS Y OTROS TRASTORNOS VASCULARES w/CC
54121,MH INSUFICIENCIA CARDÍACA
84211,MH OTROS DIAGNÓSTICOS DEL APARATO MÚSCULOESQUELÉTICO Y TEJIDO CONJUNTIVO
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
214121,MH ENVENENMAIENTO Y EFECTOS TÓXICOS POR DROGAS
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
51153,PH CATETERISMO CARDÍACO w/MCC
74113,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/MCC
14162,MH ISQUEMIA TRANSITORIA w/CC
94142,MH OTROS TRASTORNOS DE LA PIEL Y DE MAMAS w/CC
74112,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/CC
114122,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/CC
71121,PH COLECISTECTOMÍA EXCLUYENDO LAPAROSCÓPICA
74131,"MH TRASTORNOS DEL HÍGADO EXCLUYENDO MALIGNIDAD, CIRROSIS O HEPATITIS ALCOHÓLICA"
64173,MH OTRAS GASTROENTERITIS Y DOLOR ABDOMINAL w/MCC
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
121102,PH PROSTATECTOMÍA COMPLEJA w/CC
84121,MH FRACTURA O LUXACIÓN EXCLUYENDO FÉMUR Y PELVIS
54122,MH INSUFICIENCIA CARDÍACA w/CC
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
64182,MH OTROS DIAGNÓSTICOS DEL SISTEMA DIGESTIVO w/CC
54191,MH ARRITMIAS CARDÍACAS Y TRASTORNOS DE CONDUCCIÓN CARDÍACA
54242,PH OTROS DIAGNÓSTICOS DEL APARATO CIRCULATORIO w/CC
61202,PH PROCEDIMIENTOS COMPLEJOS INTESTINALES w/CC
11101,PH CRANEOTOMÍA
44172,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/CC
111203,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/MCC
14111,MH TRASTORNOS DEGENERATIVOS Y MALIGNIDAD EN EL SISTEMA NERVIOSO
64112,MH GASTRITIS Y ÚLCERA PÉPTICA w/CC
81502,PH PROCEDIMIENTOS EN TEJIDOS BLANDOS w/CC
14191,MH INFECCIONES NO BACTERIANAS DEL SISTEMA NERVIOSO EXCLUYENDO MENINGITIS VIRAL
21302,PH PROCEDIMIENTOS INTRAOCULARES Y DEL CRISTALINO w/CC
54203,MH ANGINA DE PECHO Y DOLOR TORÁCICO w/MCC
184151,MH INFECCIÓN POR VIRUS DE INMUNODEFICIENCIA HUMANA
14122,MH ESCLEROSIS MÚLTIPLE Y ATAXIA CEREBELAR w/CC
114123,MH INFECCIONES DE LOS RIÑONES Y EL TRACTO URINARIO w/MCC
114102,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL w/CC
14263,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/MCC
174133,MH QUIMIOTERAPIA w/MCC
94122,MH CELULITIS w/CC
94131,"MH TRAUMA EN LA PIEL, TEJIDO SUBCUTÁNEO Y MAMAS"
114101,MH MALIGNIDAD EN EL TRACTO URINARIO Y LOS RIÑONES CON FALLA RENAL
54131,MH TROMBOFLEBITIS VENOSA PROFUNDA
91501,PH PROCEDIMIENTOS EN MAMAS
14262,MH OTROS TRASTORNOS DEL SISTEMA NERVIOSO w/CC
14221,MH CONVULSIONES
34132,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS w/CC"
91303,PH INJERTO DE PIEL SIN QUEMADURAS w/MCC
114161,MH OTROS DIAGNÓSTICOS DE LOS RIÑONES Y EL TRACTO URINARIO
174133,MH QUIMIOTERAPIA w/MCC
91301,PH INJERTO DE PIEL SIN QUEMADURAS
114113,MH NEFRITIS w/MCC
14221,MH CONVULSIONES
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
14221,MH CONVULSIONES
44161,MH NEUMONÍA SIMPLE Y TOSFERINA (PERTUSIS)
114131,MH CÁLCULOS (LITIASIS) EN EL TRACTO URINARIO
111202,PH PROCEDIMIENTOS EN EL TRACTO URINARIO SUPERIOR w/CC
34131,"MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES DEL TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS"
14241,MH TRAUMA CRANEAL
81301,PH PROCEDIMIENTOS EN EL PIE
71141,PH COLECISTECTOMÍA LAPAROSCÓPICA
61131,PH PROCEDIMIENTOS DEL APÉNDICE
14241,MH TRAUMA CRANEAL
74112,MH MALIGNIDAD EN EL SISTEMA HEPATOBILIAR Y PÁNCREAS w/CC
44173,MH ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA w/MCC
214131,MH COMPLICACIONES DEL TRATAMIENTO
81801,PH PROCEDIMIENTOS EN LAS EXTREMIDADES SUPERIORES
64113,MH GASTRITIS Y ÚLCERA PÉPTICA w/MCC
